written by TR 
1.000000000 
76.244872046 0.000000000 0.000000000 
38.122436023 66.029996100 0.000000000 
0.000000000 0.000000000 50.000000000 
C 
1922
Cartesian 
0.00197200 0.00207972 21.95618306 
77.47450000 2.12844000 22.00000000 
2.45731000 0.00207241 21.94741967 
2.45731000 1.41966000 21.97809153 
3.68498000 2.12843000 21.78091529 
3.68502000 3.54603000 21.60783836 
78.70220000 4.25483000 21.62974684 
79.92990000 6.38131000 20.88266796 
4.91267000 0.00203116 21.52677702 
4.91267000 1.41966000 21.55744888 
6.14037000 2.12840000 21.17185979 
6.14044000 3.54607000 21.00535540 
4.91267000 4.25483000 21.22005842 
4.91279000 5.67247000 20.86295034 
6.14045000 6.38136000 20.31304771 
6.14069000 7.79907000 19.80477118 
81.15770000 8.50798000 19.82229796 
82.38560000 10.63500000 18.52750730 
7.36814000 0.00195592 20.74026290 
7.36813000 1.41967000 20.76874391 
8.59593000 2.12836000 20.22322298 
8.59603000 3.54614000 20.06767283 
7.36815000 4.25484000 20.45107108 
7.36833000 5.67257000 20.11368062 
8.59606000 6.38145000 19.42356378 
8.59641000 7.79930000 18.94595910 
7.36838000 8.50813000 19.13218111 
7.36879000 9.92599000 18.50998053 
8.59655000 10.63530000 17.75194742 
8.59718000 12.05340000 17.05525803 
83.61390000 12.76250000 17.07059396 
84.84240000 14.89060000 15.52823759 
9.82384000 0.00184818 19.64922103 
9.82382000 1.41970000 19.67551120 
11.05180000 2.12832000 19.00949367 
11.05190000 3.54625000 18.86708861 
9.82385000 4.25487000 19.38193768 
9.82411000 5.67275000 19.06645570 
11.05200000 6.38161000 18.27117819 
11.05240000 7.79963000 17.83081792 
9.82421000 8.50837000 18.15944499 
9.82476000 9.92639000 17.58106134 
11.05270000 10.63570000 16.73539435 
11.05350000 12.05400000 16.09128530 
9.82507000 12.76300000 16.24902629 
9.82595000 14.18140000 15.51290166 
11.05400000 14.89140000 14.69352483 
11.05520000 16.31010000 13.95082765 
86.07140000 17.01950000 13.96397274 
87.30100000 19.14920000 12.44133398 
12.27990000 0.00170987 18.33033106 
12.27990000 1.41973000 18.35443038 
13.50810000 2.12828000 17.60735151 
13.50830000 3.54640000 17.47590068 
12.28000000 4.25494000 18.08495618 
12.28030000 5.67300000 17.79576436 
13.50840000 6.38184000 16.93257059 
13.50890000 7.80007000 16.52726388 
12.28040000 8.50870000 16.96543330 
12.28110000 9.92694000 16.43305745 
13.50930000 10.63630000 15.52823759 
13.51020000 12.05480000 14.94109056 
12.28150000 12.76370000 15.21932814 
12.28260000 14.18230000 14.54673807 
13.51090000 14.89240000 13.68135346 
13.51230000 16.31140000 13.01095424 
12.28340000 17.02060000 13.14678676 
12.28490000 18.43980000 12.42818890 
13.51340000 19.15070000 11.67015579 
13.51520000 20.57030000 11.00194742 
88.53100000 21.27990000 11.01509250 
89.76160000 23.41150000 9.73125609 
14.73660000 0.00154629 16.86246349 
14.73660000 1.41977000 16.88437196 
15.96520000 2.12826000 16.09128530 
15.96530000 3.54660000 15.96859786 
14.73660000 4.25505000 16.63680623 
14.73700000 5.67332000 16.37171373 
15.96550000 6.38214000 15.47346641 
15.96610000 7.80060000 15.10102240 
14.73720000 8.50915000 15.61368062 
14.73800000 9.92761000 15.12731256 
15.96650000 10.63700000 14.19839338 
15.96750000 12.05580000 13.66382668 
14.73850000 12.76460000 14.03407984 
14.73980000 14.18340000 13.42283350 
15.96840000 14.89360000 12.54211295 
15.96990000 16.31280000 11.94182084 
14.74080000 17.02200000 12.18281402 
14.74250000 18.44140000 11.54308666 
15.97120000 19.15240000 10.77629017 
15.97320000 20.57230000 10.19352483 
14.74390000 21.28180000 10.31402142 
14.74600000 22.70180000 9.72030185 
15.97490000 23.41370000 9.12000974 
15.97730000 24.83410000 8.61830574 
90.99270000 25.54400000 8.62925998 
92.22420000 27.67720000 7.73758520 
17.19400000 0.00136405 15.31572541 
17.19400000 1.41981000 15.33544304 
18.42300000 2.12825000 14.53140214 
18.42320000 3.54683000 14.41747809 
17.19410000 4.25521000 15.10978578 
17.19440000 5.67371000 14.86222006 
18.42340000 6.38251000 13.96397274 
18.42400000 7.80123000 13.62000974 
17.19470000 8.50969000 14.17429406 
17.19560000 9.92840000 13.72955209 
18.42450000 10.63780000 12.80720545 
18.42560000 12.05690000 12.32083739 
17.19620000 12.76560000 12.75024343 
17.19760000 14.18470000 12.20034080 
18.42650000 14.89490000 11.33057449 
18.42810000 16.31440000 10.79819864 
17.19870000 17.02350000 11.11368062 
17.20050000 18.44320000 10.55282376 
18.42960000 19.15430000 9.80136319 
18.43170000 20.57440000 9.30185005 
17.20220000 21.28380000 9.50998053 
17.20440000 22.70410000 9.00608569 
18.43360000 23.41610000 8.42332035 
18.43600000 24.83670000 8.01582278 
17.20640000 25.54650000 8.12317429 
17.20890000 26.96730000 7.72882181 
18.43830000 27.68000000 7.34761441 
18.44100000 29.10100000 7.07156767 
93.45610000 29.81100000 7.08033106 
94.68830000 31.94530000 6.67064265 
19.65230000 0.00117230 13.75584226 
19.65230000 1.41987000 13.77336904 
20.88180000 2.12826000 12.98904576 
20.88200000 3.54710000 12.88169426 
19.65240000 4.25540000 13.56742941 
