written by TR 
1.000000000 
76.244872046 0.000000000 0.000000000 
38.122436023 66.029996100 0.000000000 
0.000000000 0.000000000 18.399999600 
C 
1922
Cartesian 
113.80500000 65.66870000 9.21326000 
76.92070000 1.77974000 9.25906000 
40.03480000 65.66570000 9.25649000 
1.91219000 1.06407000 9.27341000 
3.14943000 1.77600000 9.32496000 
3.14819000 3.20331000 9.37915000 
78.15700000 3.91902000 9.36803000 
79.38870000 6.05145000 9.58938000 
42.50890000 65.66250000 9.32371000 
4.38578000 1.06069000 9.34695000 
5.62229000 1.77218000 9.41643000 
5.61999000 3.19855000 9.48768000 
4.38364000 3.91339000 9.47426000 
4.37982000 5.33649000 9.59281000 
5.61108000 6.04016000 9.75792000 
5.60106000 7.45120000 9.97312000 
80.60920000 8.16386000 9.98368000 
81.81380000 10.24570000 10.54820000 
44.98240000 65.65960000 9.41366000 
6.85873000 1.05747000 9.44376000 
8.09425000 1.76871000 9.52929000 
8.09083000 3.19391000 9.61792000 
6.85394000 3.90739000 9.60650000 
6.84805000 5.32739000 9.75485000 
8.07710000 6.02820000 9.94502000 
8.06420000 7.43309000 10.19490000 
6.82540000 8.14153000 10.22110000 
6.80721000 9.53578000 10.52350000 
8.02718000 10.21640000 10.81490000 
8.00716000 11.60890000 11.12570000 
83.01350000 12.31840000 11.15210000 
84.22310000 14.41220000 11.64920000 
47.45510000 65.65720000 9.52280000 
9.33089000 1.05480000 9.55924000 
10.56530000 1.76615000 9.65708000 
10.56090000 3.19013000 9.76112000 
9.32321000 3.90183000 9.75539000 
9.31545000 5.31852000 9.93043000 
10.54290000 6.01767000 10.13530000 
10.52830000 7.41756000 10.41040000 
9.28735000 8.12112000 10.45450000 
9.26786000 9.51148000 10.77320000 
10.48940000 10.19520000 11.05000000 
10.47060000 11.59030000 11.34820000 
9.23026000 12.29590000 11.38500000 
9.21580000 13.70190000 11.62800000 
10.44480000 14.40310000 11.80340000 
10.43790000 15.82280000 11.94040000 
85.44640000 16.53300000 11.95850000 
86.67860000 18.66880000 12.04970000 
49.92680000 65.65580000 9.64598000 
11.80220000 1.05317000 9.68707000 
13.03560000 1.76510000 9.79240000 
13.03040000 3.18805000 9.90805000 
11.79190000 3.89780000 9.91046000 
11.78280000 5.31154000 10.10640000 
13.00930000 6.01068000 10.31610000 
12.99410000 7.40722000 10.60700000 
11.75140000 8.10599000 10.66900000 
11.73210000 9.49499000 10.99320000 
12.95510000 10.18360000 11.25010000 
12.93780000 11.58200000 11.53250000 
11.69610000 12.28440000 11.57420000 
11.68350000 13.69560000 11.78300000 
12.91350000 14.40300000 11.92140000 
12.90770000 15.82600000 12.01010000 
11.67080000 16.53430000 12.00940000 
11.66950000 17.95930000 12.03000000 
12.90290000 18.67170000 11.99380000 
12.90330000 20.09380000 11.91310000 
87.91250000 20.80290000 11.93810000 
89.14350000 22.92780000 11.69260000 
52.39760000 65.65580000 9.77744000 
14.27280000 1.05303000 9.82056000 
15.50520000 1.76610000 9.92828000 
15.49950000 3.18844000 10.05060000 
14.26030000 3.89640000 10.06220000 
14.25040000 5.30803000 10.27200000 
15.47660000 6.00879000 10.47860000 
15.46170000 7.40362000 10.77760000 
14.21760000 8.09823000 10.85650000 
14.19930000 9.48736000 11.18060000 
15.42330000 10.18120000 11.41810000 
15.40720000 11.58210000 11.68920000 
14.16440000 12.28220000 11.73190000 
14.15290000 13.69720000 11.91270000 
15.38250000 14.40850000 12.03370000 
15.37710000 15.83300000 12.08870000 
14.14020000 16.53990000 12.05280000 
14.13910000 17.96410000 12.01740000 
15.37290000 18.67620000 11.98140000 
15.37340000 20.09440000 11.84860000 
14.13620000 20.80040000 11.80280000 
14.13510000 22.21830000 11.66370000 
15.37000000 22.92000000 11.53020000 
15.36660000 24.33800000 11.38030000 
90.37300000 25.04800000 11.40600000 
91.60380000 27.17060000 11.14570000 
54.86750000 65.65750000 9.91201000 
16.74270000 1.05476000 9.95375000 
17.97430000 1.76950000 10.05920000 
17.96830000 3.19179000 10.18280000 
16.72860000 3.89843000 10.20310000 
16.71850000 5.30905000 10.41970000 
17.94450000 6.01272000 10.61720000 
17.93030000 7.40724000 10.91870000 
16.68560000 8.09856000 11.01380000 
16.66850000 9.48822000 11.33680000 
17.89270000 10.18700000 11.55860000 
17.87720000 11.58870000 11.82790000 
16.63350000 12.28710000 11.87340000 
16.62230000 13.70380000 12.04100000 
17.85060000 14.41770000 12.16360000 
17.84500000 15.84270000 12.20880000 
16.60880000 16.54840000 12.13570000 
16.60840000 17.97160000 12.06740000 
17.84220000 18.68510000 12.06550000 
17.84430000 20.10120000 11.90690000 
16.60930000 20.80150000 11.77520000 
16.60910000 22.21550000 11.59580000 
17.84780000 22.92080000 11.52910000 
17.84570000 24.33580000 11.34780000 
16.60490000 25.03950000 11.26520000 
16.59940000 26.46040000 11.13160000 
17.84000000 27.16460000 11.05180000 
17.83230000 28.58820000 10.93910000 
92.83550000 29.29830000 10.93620000 
94.06650000 31.43080000 10.77340000 
57.33660000 65.66100000 10.04590000 
19.21190000 1.05854000 10.08240000 
20.44280000 1.77530000 10.18180000 
20.43680000 3.19818000 10.30110000 
19.19690000 3.90418000 10.32840000 
